Order Date,Segment,Country,State,Category,Sub-Category,Sales
31/01/2016,Consumer,United States,Minnesota,Furniture,Furnishings,53.34
31/01/2016,Consumer,United States,Minnesota,Office Supplies,Binders,32.96
6/11/2018,Home Office,United States,Oregon,Office Supplies,Binders,5.682
9/11/2018,Home Office,United States,New York,Furniture,Furnishings,96.53
17/06/2018,Consumer,United States,California,Office Supplies,Binders,51.312
6/9/2017,Corporate,United States,Minnesota,Office Supplies,Appliances,77.88
29/08/2017,Home Office,United States,Illinois,Office Supplies,Paper,64.624
29/08/2017,Home Office,United States,Illinois,Technology,Accessories,95.976
29/08/2017,Home Office,United States,Illinois,Office Supplies,Binders,1.788
1/12/2017,Consumer,United States,Minnesota,Office Supplies,Paper,23.92
13/11/2016,Consumer,United States,Colorado,Technology,Accessories,238.896
13/11/2016,Consumer,United States,Colorado,Furniture,Furnishings,102.36
13/11/2016,Consumer,United States,Colorado,Office Supplies,Binders,36.882
23/11/2018,Consumer,United States,North Carolina,Technology,Accessories,74.112
23/11/2018,Consumer,United States,North Carolina,Technology,Phones,27.992
23/11/2018,Consumer,United States,North Carolina,Office Supplies,Art,3.304
15/10/2016,Home Office,United States,Illinois,Technology,Accessories,339.96
25/12/2018,Corporate,United States,New York,Furniture,Furnishings,41.96
3/11/2017,Consumer,United States,Iowa,Office Supplies,Art,75.96
3/11/2017,Consumer,United States,Iowa,Office Supplies,Binders,27.24
25/08/2015,Consumer,United States,Ohio,Office Supplies,Fasteners,40.096
25/08/2015,Consumer,United States,Ohio,Office Supplies,Envelopes,4.72
25/08/2015,Consumer,United States,Ohio,Office Supplies,Paper,23.976
25/08/2015,Consumer,United States,Ohio,Office Supplies,Envelopes,130.464
2/3/2016,Consumer,United States,Washington,Furniture,Tables,787.53
5/4/2016,Corporate,United States,Tennessee,Office Supplies,Binders,157.794
12/6/2017,Consumer,United States,Delaware,Furniture,Furnishings,47.04
12/6/2017,Consumer,United States,Delaware,Office Supplies,Binders,30.84
12/6/2017,Consumer,United States,Delaware,Office Supplies,Storage,226.56
12/6/2017,Consumer,United States,Delaware,Office Supplies,Envelopes,115.02
12/6/2017,Consumer,United States,Delaware,Technology,Phones,68.04
26/12/2015,Home Office,United States,Texas,Furniture,Chairs,600.558
20/09/2015,Consumer,United States,Illinois,Furniture,Tables,617.7
5/11/2018,Consumer,United States,Arizona,Office Supplies,Binders,2.388
5/11/2018,Consumer,United States,Arizona,Office Supplies,Storage,243.992
6/11/2017,Home Office,United States,California,Furniture,Chairs,81.424
6/11/2017,Home Office,United States,California,Furniture,Furnishings,238.56
2/2/2018,Corporate,United States,Ohio,Technology,Phones,59.97
2/2/2018,Corporate,United States,Ohio,Office Supplies,Paper,78.304
2/2/2018,Corporate,United States,Ohio,Office Supplies,Fasteners,21.456
13/10/2017,Consumer,United States,California,Office Supplies,Paper,20.04
13/10/2017,Consumer,United States,California,Office Supplies,Paper,35.44
13/10/2017,Consumer,United States,California,Office Supplies,Art,11.52
13/10/2017,Consumer,United States,California,Office Supplies,Fasteners,4.02
13/10/2017,Consumer,United States,California,Office Supplies,Binders,76.176
13/10/2017,Consumer,United States,California,Office Supplies,Supplies,65.88
13/10/2017,Consumer,United States,California,Furniture,Furnishings,43.12
5/9/2017,Corporate,United States,Pennsylvania,Furniture,Furnishings,82.8
18/09/2018,Corporate,United States,California,Office Supplies,Art,8.82
18/09/2018,Corporate,United States,California,Office Supplies,Envelopes,10.86
18/09/2018,Corporate,United States,California,Office Supplies,Paper,143.7
22/12/2018,Consumer,United States,Missouri,Office Supplies,Appliances,839.43
7/9/2016,Consumer,United States,California,Office Supplies,Storage,671.93
22/10/2015,Home Office,United States,Ohio,Furniture,Furnishings,93.888
5/12/2017,Corporate,United States,Wisconsin,Technology,Phones,384.45
5/12/2017,Corporate,United States,Wisconsin,Technology,Phones,149.97
5/12/2017,Corporate,United States,Wisconsin,Furniture,Chairs,1951.84
5/12/2017,Corporate,United States,Wisconsin,Office Supplies,Binders,171.55
13/03/2017,Home Office,United States,Arizona,Office Supplies,Appliances,157.92
13/03/2017,Home Office,United States,Arizona,Technology,Phones,203.184
31/05/2016,Corporate,United States,California,Office Supplies,Paper,58.38
31/05/2016,Corporate,United States,California,Office Supplies,Paper,105.52
31/05/2016,Corporate,United States,California,Office Supplies,Storage,80.88
28/05/2016,Home Office,United States,Washington,Office Supplies,Art,6.63
1/3/2015,Consumer,United States,Washington,Furniture,Chairs,457.568
20/11/2017,Consumer,United States,Oklahoma,Office Supplies,Labels,14.62
20/11/2017,Consumer,United States,Oklahoma,Technology,Phones,944.93
11/5/2017,Consumer,United States,California,Office Supplies,Paper,5.98
28/12/2016,Consumer,United States,Pennsylvania,Technology,Accessories,54.384
16/11/2017,Consumer,United States,New Mexico,Office Supplies,Envelopes,28.4
7/11/2017,Consumer,United States,Washington,Office Supplies,Binders,27.68
8/9/2015,Consumer,United States,Texas,Office Supplies,Art,9.936
8/9/2015,Consumer,United States,Texas,Technology,Machines,8159.952
8/9/2015,Consumer,United States,Texas,Office Supplies,Storage,275.928
8/9/2015,Consumer,United States,Texas,Furniture,Chairs,1740.06
8/9/2015,Consumer,United States,Texas,Office Supplies,Art,32.064
8/9/2015,Consumer,United States,Texas,Office Supplies,Appliances,177.98
8/9/2015,Consumer,United States,Texas,Technology,Phones,143.976
5/8/2015,Consumer,United States,California,Office Supplies,Paper,20.94
5/8/2015,Consumer,United States,California,Office Supplies,Paper,110.96
5/8/2015,Consumer,United States,California,Furniture,Chairs,340.144
14/09/2015,Corporate,United States,Illinois,Office Supplies,Appliances,52.448
14/09/2015,Corporate,United States,Illinois,Office Supplies,Labels,20.16
21/04/2018,Consumer,United States,Texas,Office Supplies,Appliances,97.264
21/11/2016,Consumer,United States,Ohio,Furniture,Chairs,396.802
21/11/2016,Consumer,United States,Ohio,Office Supplies,Supplies,15.88
15/12/2016,Home Office,United States,New York,Office Supplies,Art,3.28
5/12/2015,Corporate,United States,Illinois,Office Supplies,Storage,24.816
5/12/2015,Corporate,United States,Illinois,Technology,Accessories,408.744
19/11/2015,Home Office,United States,Louisiana,Technology,Phones,503.96
19/11/2015,Home Office,United States,Louisiana,Technology,Phones,149.95
19/11/2015,Home Office,United States,Louisiana,Technology,Accessories,29
28/11/2017,Consumer,United States,Connecticut,Office Supplies,Binders,7.16
26/08/2015,Home Office,United States,California,Technology,Accessories,176.8
16/07/2017,Corporate,United States,Texas,Office Supplies,Storage,37.224
16/07/2017,Corporate,United States,Texas,Office Supplies,Paper,20.016
12/10/2016,Home Office,United States,New York,Furniture,Bookcases,899.136
12/10/2016,Home Office,United States,New York,Technology,Phones,71.76
12/10/2016,Home Office,United States,New York,Office Supplies,Paper,51.84
12/10/2016,Home Office,United States,New York,Furniture,Bookcases,626.352
12/10/2016,Home Office,United States,New York,Office Supplies,Art,19.9
31/10/2016,Corporate,United States,California,Office Supplies,Envelopes,14.28
21/03/2015,Consumer,United States,Ohio,Office Supplies,Art,7.408
21/03/2015,Consumer,United States,Ohio,Office Supplies,Art,6.048
6/11/2018,Home Office,United States,New Jersey,Office Supplies,Storage,46.26
6/7/2018,Corporate,United States,Pennsylvania,Office Supplies,Binders,2.946
6/7/2018,Corporate,United States,Pennsylvania,Office Supplies,Paper,16.056
24/06/2018,Consumer,United States,Ohio,Office Supplies,Paper,21.744
3/8/2015,Consumer,United States,Colorado,Furniture,Tables,218.75
3/8/2015,Consumer,United States,Colorado,Office Supplies,Appliances,2.6
17/12/2018,Consumer,United States,Texas,Office Supplies,Appliances,66.284
3/6/2018,Corporate,United States,Tennessee,Furniture,Furnishings,35.168
9/12/2018,Consumer,United States,California,Technology,Phones,444.768
1/12/2018,Consumer,United States,Michigan,Office Supplies,Storage,83.92
1/12/2018,Consumer,United States,Michigan,Technology,Phones,131.98
1/12/2018,Consumer,United States,Michigan,Office Supplies,Binders,15.92
1/12/2018,Consumer,United States,Michigan,Office Supplies,Fasteners,52.29
1/12/2018,Consumer,United States,Michigan,Office Supplies,Storage,91.99
9/2/2016,Corporate,United States,Texas,Technology,Accessories,20.8
2/1/2016,Corporate,United States,Ohio,Office Supplies,Labels,23.68
2/1/2016,Corporate,United States,Ohio,Furniture,Bookcases,452.45
2/1/2016,Corporate,United States,Ohio,Technology,Phones,62.982
2/1/2016,Corporate,United States,Ohio,Technology,Machines,1188
2/1/2016,Corporate,United States,Ohio,Technology,Accessories,89.584
28/10/2017,Consumer,United States,California,Office Supplies,Storage,93.06
28/10/2017,Consumer,United States,California,Technology,Phones,302.376
24/12/2016,Consumer,United States,Ohio,Office Supplies,Fasteners,5.584
24/12/2016,Consumer,United States,Ohio,Office Supplies,Paper,22.704
24/12/2016,Consumer,United States,Ohio,Office Supplies,Binders,19.776
24/12/2016,Consumer,United States,Ohio,Furniture,Furnishings,72.704
24/12/2016,Consumer,United States,Ohio,Technology,Machines,479.988
24/12/2016,Consumer,United States,Ohio,Office Supplies,Art,27.168
9/8/2016,Corporate,United States,Michigan,Office Supplies,Art,2.2
9/8/2016,Corporate,United States,Michigan,Furniture,Tables,622.45
9/8/2016,Corporate,United States,Michigan,Office Supplies,Storage,21.98
28/02/2016,Consumer,United States,Tennessee,Furniture,Chairs,161.568
28/02/2016,Consumer,United States,Tennessee,Furniture,Chairs,389.696
13/09/2015,Corporate,United States,North Carolina,Office Supplies,Binders,18.648
7/4/2018,Home Office,United States,Florida,Furniture,Tables,233.86
7/4/2018,Home Office,United States,Florida,Furniture,Tables,620.6145
7/4/2018,Home Office,United States,Florida,Office Supplies,Binders,5.328
7/4/2018,Home Office,United States,Florida,Furniture,Furnishings,258.072
7/4/2018,Home Office,United States,Florida,Technology,Accessories,617.976
12/11/2018,Corporate,United States,California,Office Supplies,Paper,10.56
4/6/2017,Consumer,United States,Illinois,Office Supplies,Paper,25.92
4/6/2017,Consumer,United States,Illinois,Furniture,Furnishings,419.68
4/6/2017,Consumer,United States,Illinois,Furniture,Furnishings,11.688
4/6/2017,Consumer,United States,Illinois,Technology,Phones,31.984
4/6/2017,Consumer,United States,Illinois,Furniture,Tables,177.225
4/6/2017,Consumer,United States,Illinois,Furniture,Furnishings,4.044
4/6/2017,Consumer,United States,Illinois,Office Supplies,Art,7.408
1/6/2015,Home Office,United States,Minnesota,Furniture,Chairs,2001.86
1/6/2015,Home Office,United States,Minnesota,Office Supplies,Storage,166.72
1/6/2015,Home Office,United States,Minnesota,Office Supplies,Paper,47.88
1/6/2015,Home Office,United States,Minnesota,Office Supplies,Appliances,1503.25
1/6/2015,Home Office,United States,Minnesota,Office Supplies,Paper,25.92
10/12/2017,Consumer,United States,California,Furniture,Chairs,321.568
11/9/2017,Consumer,United States,California,Office Supplies,Paper,7.61
11/9/2017,Consumer,United States,California,Technology,Accessories,3347.37
10/12/2017,Consumer,United States,New York,Office Supplies,Storage,80.58
10/12/2017,Consumer,United States,New York,Office Supplies,Envelopes,361.92
28/11/2016,Corporate,United States,Illinois,Furniture,Furnishings,12.132
28/11/2016,Corporate,United States,Illinois,Office Supplies,Storage,82.368
28/11/2016,Corporate,United States,Illinois,Office Supplies,Storage,53.92
28/11/2016,Corporate,United States,Illinois,Technology,Phones,647.904
1/12/2018,Consumer,United States,New York,Technology,Accessories,20.37
1/12/2018,Consumer,United States,New York,Office Supplies,Storage,221.55
1/12/2018,Consumer,United States,New York,Office Supplies,Binders,17.52
8/6/2018,Corporate,United States,Texas,Office Supplies,Appliances,1.624
19/09/2015,Corporate,United States,Texas,Technology,Machines,3059.982
19/09/2015,Corporate,United States,Texas,Technology,Machines,2519.958
6/6/2017,Consumer,United States,Illinois,Technology,Phones,328.224
10/11/2016,Consumer,United States,California,Technology,Accessories,79.9
16/06/2018,Corporate,United States,North Carolina,Office Supplies,Art,14.016
22/01/2017,Consumer,United States,New Jersey,Office Supplies,Fasteners,7.56
9/12/2018,Corporate,United States,Ohio,Office Supplies,Storage,37.208
9/12/2018,Corporate,United States,Ohio,Office Supplies,Envelopes,57.576
28/12/2018,Corporate,United States,California,Office Supplies,Storage,725.84
30/07/2016,Consumer,United States,California,Technology,Accessories,209.93
30/07/2016,Consumer,United States,California,Furniture,Furnishings,5.28
30/07/2016,Consumer,United States,California,Office Supplies,Binders,10.92
16/09/2018,Corporate,United States,California,Office Supplies,Paper,8.82
16/09/2018,Corporate,United States,California,Office Supplies,Art,5.98
13/10/2018,Corporate,United States,Pennsylvania,Office Supplies,Paper,11.648
13/10/2018,Corporate,United States,Pennsylvania,Office Supplies,Paper,18.176
13/10/2018,Corporate,United States,Pennsylvania,Office Supplies,Storage,59.712
13/10/2018,Corporate,United States,Pennsylvania,Office Supplies,Labels,24.84
26/09/2016,Consumer,United States,Texas,Office Supplies,Binders,2.08
26/09/2016,Consumer,United States,Texas,Technology,Phones,1114.4
2/11/2016,Consumer,United States,California,Furniture,Tables,1038.84
26/09/2016,Consumer,United States,Oregon,Office Supplies,Paper,141.76
26/09/2016,Consumer,United States,Oregon,Technology,Accessories,239.8
26/09/2016,Consumer,United States,Oregon,Office Supplies,Paper,31.104
18/12/2017,Corporate,United States,Florida,Office Supplies,Binders,254.058
18/12/2017,Corporate,United States,Florida,Office Supplies,Appliances,194.528
18/12/2017,Corporate,United States,Florida,Office Supplies,Supplies,961.48
20/11/2017,Home Office,United States,Ohio,Office Supplies,Fasteners,19.096
20/11/2017,Home Office,United States,Ohio,Office Supplies,Labels,18.496
20/11/2017,Home Office,United States,Ohio,Technology,Accessories,255.984
20/11/2017,Home Office,United States,Ohio,Furniture,Bookcases,86.97
26/12/2015,Corporate,United States,Colorado,Furniture,Furnishings,300.416
26/12/2015,Corporate,United States,Colorado,Furniture,Chairs,230.352
26/12/2015,Corporate,United States,Colorado,Furniture,Furnishings,218.352
26/12/2015,Corporate,United States,Colorado,Office Supplies,Binders,78.6
26/12/2015,Corporate,United States,Colorado,Office Supplies,Fasteners,27.552
28/10/2017,Corporate,United States,New Jersey,Office Supplies,Paper,32.4
28/10/2017,Corporate,United States,New Jersey,Office Supplies,Storage,1082.48
28/10/2017,Corporate,United States,New Jersey,Office Supplies,Paper,56.91
28/10/2017,Corporate,United States,New Jersey,Furniture,Furnishings,77.6
28/10/2017,Corporate,United States,New Jersey,Office Supplies,Binders,14.28
19/11/2018,Consumer,United States,Illinois,Furniture,Tables,219.075
4/5/2016,Corporate,United States,New York,Furniture,Furnishings,26.8
30/12/2015,Corporate,United States,Michigan,Office Supplies,Art,9.84
1/6/2015,Home Office,United States,New Jersey,Office Supplies,Binders,45.48
1/6/2015,Home Office,United States,New Jersey,Office Supplies,Art,289.2
15/04/2018,Consumer,United States,Virginia,Office Supplies,Art,4.89
12/9/2017,Corporate,United States,Colorado,Furniture,Furnishings,15.136
12/9/2017,Corporate,United States,Colorado,Furniture,Chairs,466.768
12/9/2017,Corporate,United States,Colorado,Furniture,Furnishings,15.232
12/9/2017,Corporate,United States,Colorado,Office Supplies,Labels,6.264
27/09/2015,Corporate,United States,New Jersey,Furniture,Furnishings,87.54
9/8/2015,Corporate,United States,Florida,Technology,Phones,178.384
9/8/2015,Corporate,United States,Florida,Office Supplies,Paper,15.552
28/12/2015,Corporate,United States,Pennsylvania,Office Supplies,Art,99.136
4/11/2015,Home Office,United States,New York,Furniture,Chairs,135.882
4/11/2015,Home Office,United States,New York,Technology,Machines,3991.98
4/11/2015,Home Office,United States,New York,Technology,Phones,275.94
4/11/2015,Home Office,United States,New York,Technology,Accessories,360
4/11/2015,Home Office,United States,New York,Office Supplies,Storage,43.57
19/09/2015,Corporate,United States,California,Office Supplies,Fasteners,7.16
23/04/2017,Corporate,United States,California,Office Supplies,Binders,251.52
23/04/2017,Corporate,United States,California,Technology,Accessories,99.99
3/11/2018,Corporate,United States,Tennessee,Furniture,Furnishings,15.992
30/08/2017,Consumer,United States,Pennsylvania,Technology,Phones,290.898
30/08/2017,Consumer,United States,Pennsylvania,Office Supplies,Storage,54.224
30/08/2017,Consumer,United States,Pennsylvania,Furniture,Chairs,786.744
30/08/2017,Consumer,United States,Pennsylvania,Office Supplies,Labels,100.24
30/08/2017,Consumer,United States,Pennsylvania,Office Supplies,Binders,37.764
25/04/2017,Consumer,United States,Pennsylvania,Technology,Phones,82.8
25/04/2017,Consumer,United States,Pennsylvania,Office Supplies,Binders,20.724
25/04/2017,Consumer,United States,Pennsylvania,Office Supplies,Binders,4.896
1/9/2016,Consumer,United States,California,Office Supplies,Binders,4.752
1/9/2016,Consumer,United States,California,Technology,Copiers,959.984
1/9/2016,Consumer,United States,California,Office Supplies,Binders,14.368
12/7/2015,Corporate,United States,California,Office Supplies,Binders,7.712
12/7/2015,Corporate,United States,California,Furniture,Tables,698.352
22/06/2016,Consumer,United States,Utah,Office Supplies,Fasteners,4.96
13/04/2015,Corporate,United States,Pennsylvania,Office Supplies,Art,17.856
13/04/2015,Corporate,United States,Pennsylvania,Office Supplies,Binders,509.97
13/04/2015,Corporate,United States,Pennsylvania,Office Supplies,Fasteners,30.992
13/04/2015,Corporate,United States,Pennsylvania,Technology,Phones,71.928
20/12/2016,Consumer,United States,Texas,Office Supplies,Storage,88.8
15/06/2018,Consumer,United States,California,Technology,Phones,47.976
8/7/2018,Consumer,United States,Massachusetts,Office Supplies,Art,7.56
8/7/2018,Consumer,United States,Massachusetts,Office Supplies,Paper,24.56
8/7/2018,Consumer,United States,Massachusetts,Office Supplies,Art,12.96
1/9/2017,Home Office,United States,New York,Technology,Accessories,6.79
1/9/2017,Home Office,United States,New York,Office Supplies,Paper,24.56
1/9/2017,Home Office,United States,New York,Office Supplies,Binders,3.048
1/9/2017,Home Office,United States,New York,Office Supplies,Paper,49.12
1/9/2017,Home Office,United States,New York,Office Supplies,Binders,4355.168
8/4/2017,Consumer,United States,New York,Furniture,Bookcases,388.704
8/4/2017,Consumer,United States,New York,Office Supplies,Envelopes,8.26
8/4/2017,Consumer,United States,New York,Office Supplies,Art,17.04
8/4/2017,Consumer,United States,New York,Office Supplies,Paper,34.4
23/04/2017,Corporate,United States,North Carolina,Office Supplies,Paper,36.24
8/3/2018,Corporate,United States,Georgia,Office Supplies,Appliances,647.84
8/3/2018,Corporate,United States,Georgia,Office Supplies,Labels,20.7
25/09/2018,Consumer,United States,New York,Office Supplies,Labels,20.7
25/09/2018,Consumer,United States,New York,Furniture,Chairs,488.646
25/09/2018,Consumer,United States,New York,Office Supplies,Art,5.56
25/09/2018,Consumer,United States,New York,Furniture,Furnishings,47.12
24/09/2015,Consumer,United States,California,Office Supplies,Storage,211.96
21/10/2017,Corporate,United States,Connecticut,Office Supplies,Binders,23.2
21/10/2017,Corporate,United States,Connecticut,Office Supplies,Supplies,7.36
21/10/2017,Corporate,United States,Connecticut,Office Supplies,Storage,104.79
21/10/2017,Corporate,United States,Connecticut,Furniture,Bookcases,1043.92
29/05/2018,Consumer,United States,Texas,Office Supplies,Paper,25.92
29/05/2018,Consumer,United States,Texas,Office Supplies,Storage,53.424
23/07/2015,Consumer,United States,Arizona,Office Supplies,Binders,8.16
23/07/2015,Consumer,United States,Arizona,Technology,Accessories,1023.936
23/07/2015,Consumer,United States,Arizona,Office Supplies,Art,9.24
23/07/2015,Consumer,United States,Arizona,Technology,Accessories,479.04
28/09/2017,Corporate,United States,Illinois,Office Supplies,Paper,99.136
27/08/2018,Corporate,United States,Massachusetts,Furniture,Tables,1488.424
28/04/2016,Consumer,United States,Texas,Office Supplies,Appliances,8.652
28/04/2016,Consumer,United States,Texas,Office Supplies,Storage,23.832
28/04/2016,Consumer,United States,Texas,Office Supplies,Binders,12.176
28/10/2017,Corporate,United States,California,Office Supplies,Paper,50.96
28/10/2017,Corporate,United States,California,Office Supplies,Binders,49.536
26/06/2016,Corporate,United States,Michigan,Technology,Accessories,41.9
27/11/2016,Consumer,United States,Florida,Furniture,Tables,375.4575
27/11/2016,Consumer,United States,Florida,Technology,Accessories,83.976
3/12/2016,Corporate,United States,Pennsylvania,Technology,Machines,482.34
3/12/2016,Corporate,United States,Pennsylvania,Furniture,Furnishings,2.96
24/11/2015,Consumer,United States,Ohio,Office Supplies,Art,2.624
11/12/2018,Consumer,United States,New York,Office Supplies,Binders,23.36
11/12/2018,Consumer,United States,New York,Technology,Accessories,39.98
21/09/2015,Consumer,United States,Washington,Technology,Phones,246.384
21/09/2015,Consumer,United States,Washington,Technology,Copiers,1799.97
7/6/2015,Corporate,United States,Illinois,Office Supplies,Binders,12.462
30/06/2018,Home Office,United States,Nevada,Office Supplies,Binders,75.792
17/10/2018,Corporate,United States,Rhode Island,Office Supplies,Storage,49.96
17/10/2018,Corporate,United States,Rhode Island,Office Supplies,Paper,12.96
31/10/2016,Home Office,United States,Michigan,Office Supplies,Supplies,70.12
8/9/2017,Consumer,United States,Texas,Office Supplies,Storage,35.952
8/9/2017,Consumer,United States,Texas,Furniture,Bookcases,2396.2656
8/9/2017,Consumer,United States,Texas,Office Supplies,Storage,131.136
8/9/2017,Consumer,United States,Texas,Technology,Accessories,57.584
24/12/2015,Consumer,United States,Florida,Office Supplies,Paper,9.568
16/04/2015,Corporate,United States,North Carolina,Office Supplies,Art,39.072
24/12/2018,Consumer,United States,New York,Office Supplies,Appliances,35.91
8/12/2018,Consumer,United States,California,Technology,Accessories,179.95
8/12/2018,Consumer,United States,California,Technology,Copiers,1199.976
8/12/2018,Consumer,United States,California,Office Supplies,Paper,27.15
8/12/2018,Consumer,United States,California,Furniture,Tables,1004.024
8/12/2018,Consumer,United States,California,Office Supplies,Paper,9.68
